country,BestHealthcareInTheWorld_HealthCareIndexCEOWorld_2024,BestHealthcareInTheWorld_HealthCareIndexNumbeo_2024mid,BestHealthcareInTheWorld_HealthCareExpIndexNumbeo_2024mid,BestHealthcareInTheWorldLegatumProsperityIndexHealthScore2023,BestHealthcareInTheWorldUSNewsRanking2022,BestHealthcareInTheWorldWHOIndex2000
Namibia,45.86,,,60.64,,0.34
Zambia,45.29,,,57.2,,0.269
Cambodia,45.23,,,70.58,66,0.322
Papua New Guinea,44.75,,,52.87,,0.467
Senegal,44.06,,,64.44,,0.756
Eswatini,44.03,,,48.43,,0.305
Bahrain,38.48,,,76.24,42,0.824
Uzbekistan,36.26,,,76.28,64,0.599
Angola,35.61,,,49.88,,0.275
Tanzania,27.6,,,60.07,,0.422
Turkmenistan,27.3,,,75.59,,0.443
Ivory Coast,27.2,,,51.81,,0.517
Ghana,27,,,63.08,55,0.522
Myanmar,26.3,,,66.74,56,0.138
Uganda,25.8,,,58.49,,0.464
Cameroon,25.7,,,51.02,71,0.357
Sudan,25.6,,,60.55,,0.524
DR Congo,25.6,,,50.9,,0.171
Libya,25.2,,,67.84,,0.683
Bolivia,22.3,,,66.02,,0.571
Paraguay,21.9,,,70.84,,0.761
Honduras,19.6,,,69.1,50,0.544
El Salvador,18.6,,,69.35,61,0.608
Jamaica,,,,73.83,,0.782
Cape Verde,,,,72.75,,0.617
Kyrgyzstan,,,,72.46,,0.455
Nicaragua,,,,72.1,,0.733
Belize,,,,70.61,,0.736
Sao Tome and Principe,,,,70.54,,0.535
Syria,,,,67.16,,0.628
Laos,,,,66.38,,0.356
Rwanda,,,,64.6,,0.327
Guyana,,,,62.47,,0.554
Malawi,,,,61.01,,0.251
Ethiopia,,,,60.91,,0.276
Suriname,,,,60.8,,0.623
Djibouti,,,,60.55,,0.414
Comoros,,,,59.6,,0.592
Botswana,,,,59.07,,0.338
Burkina Faso,,,,58.72,,0.543
Burundi,,,,58.16,,0.494
Eritrea,,,,57.49,,0.399
Yemen,,,,57.45,,0.587
Mauritania,,,,56.74,,0.384
Gambia,,,,56.18,,0.482
Gabon,,,,56.07,,0.511
Zimbabwe,,,,55.46,70,0.427
Togo,,,,55.09,,0.449
Niger,,,,54.6,,0.337
Mali,,,,54.47,,0.361
Madagascar,,,,54.12,,0.397
Republic of the Congo,,,,54.1,,0.354
Benin,,,,53.5,,0.647
Haiti,,,,52.93,,0.517
Mozambique,,,,52.84,,0.26
Afghanistan,,,,50.91,,0.325
Guinea-Bissau,,,,50.87,,0.314
Equatorial Guinea,,,,50.41,,0.337
Guinea,,,,48.65,,0.385
Liberia,,,,48.64,,0.2
Sierra Leone,,,,48.26,,
Somalia,,,,44.38,,0.286
Lesotho,,,,41.3,,0.266
Chad,,,,39.17,,0.303
South Sudan,,,,35.69,,
Central African Republic,,,,31.95,,0.156
San Marino,,,,,,0.988
Andorra,,,,,,0.982
Dominica,,,,,,0.854
Brunei,,,,,,0.829
Barbados,,,,,,0.808
Saint Lucia,,,,,,0.74
Saint Vincent and the Grenadines,,,,,,0.722
Solomon Islands,,,,,,0.705
Palau,,,,,,0.7
Grenada,,,,,,0.689
Antigua and Barbuda,,,,,,0.688
Bahamas,,,,,,0.657
Fiji,,,,,,0.653
Nauru,,,,,,0.647
Saint Kitts and Nevis,,,,,,0.643
Cook Islands,,,,,,0.628
Tonga,,,,,,0.607
Samoa,,,,,,0.589
Niue,,,,,,0.584
Micronesia,,,,,,0.579
Vanuatu,,,,,,0.559
Tuvalu,,,,,,0.518
Marshall Islands,,,,,,0.504
Kiribati,,,,,,0.495
North Korea,,,,,,0.353
